Simulation Step,Minimal Target Distance
0,3145
1,3108
2,3080
3,3044
4,3023
5,2982
6,2939
7,2891
8,2863
9,2835
10,2807
11,2781
12,2756
13,2737
14,2708
15,2683
16,2667
17,2658
18,2650
19,2654
20,2649
21,2638
22,2631
23,2621
24,2610
25,2604
26,2600
27,2594
28,2588
29,2574
30,2560
31,2550
32,2536
33,2524
34,2512
35,2499
36,2490
37,2485
38,2480
39,2476
40,2472
41,2470
42,2469
43,2467
44,2466
45,2465
46,2465
47,2466
48,2465
49,2463
50,2460
51,2455
52,2450
53,2445
54,2440
55,2432
56,2423
57,2412
58,2399
59,2381
60,2362
61,2342
62,2322
63,2300
64,2277
65,2255
66,2235
67,2216
68,2199
69,2183
70,2170
71,2158
72,2148
73,2139
74,2131
75,2125
76,2118
77,2111
78,2104
79,2096
80,2088
81,2079
82,2071
83,2062
84,2054
85,2045
86,2037
87,2028
88,2020
89,2011
90,2001
91,1990
92,1978
93,1965
94,1951
95,1936
96,1920
97,1904
98,1888
99,1872
100,1856
101,1840
102,1296
103,1312
104,1328
105,1342
106,1356
107,1368
108,1380
109,1390
110,1400
111,1408
112,1416
113,1422
114,1428
115,1432
116,1436
117,1438
118,0
119,0
