Simulation Step,Minimal Target Distance
0,3186
1,3195
2,3187
3,3186
4,3178
5,3180
6,3179
7,3167
8,3144
9,3120
10,3077
11,3037
12,3002
13,2973
14,2947
15,2924
16,2903
17,2891
18,2875
19,2861
20,2851
21,2844
22,2840
23,2842
24,2847
25,2859
26,2874
27,2892
28,2912
29,2935
30,2950
31,2970
32,2988
33,3009
34,3028
35,3054
36,3075
37,3102
38,3124
39,3152
40,3177
41,3194
42,3167
43,3135
44,3102
45,3065
46,3031
47,2996
48,2962
49,2927
50,2897
51,2865
52,2838
53,2811
54,2788
55,2763
56,2743
57,2721
58,2704
59,2684
60,2668
61,2646
62,2627
63,2605
64,2585
65,2562
66,2540
67,2514
68,2488
69,2461
70,2435
71,2405
72,2377
73,2344
74,2312
75,2279
76,2246
77,2210
78,2177
79,2143
80,2111
81,2080
82,2048
83,2016
84,1984
85,1951
86,1915
87,1877
88,1837
89,1796
90,1755
91,1712
92,1669
93,1625
94,1582
95,1537
96,1492
97,1446
98,1401
99,1356
100,1311
101,1265
102,1220
103,1174
104,1132
105,1088
106,1045
107,1002
108,961
109,920
110,881
111,841
112,802
113,764
114,728
115,691
116,656
117,620
118,586
119,553
120,521
121,488
122,457
123,426
124,397
125,368
126,340
127,311
128,285
129,259
130,233
131,209
132,186
133,164
134,144
135,125
136,107
137,91
138,76
139,62
140,50
141,39
142,29
143,21
144,14
145,8
146,4
147,0
148,0
