Simulation Step,Minimal Target Distance
0,3140
1,3033
2,3009
3,2988
4,2986
5,2946
6,2932
7,2907
8,2888
9,2876
10,2884
11,2895
12,2904
13,2906
14,2905
15,2909
16,2915
17,2910
18,2901
19,2904
20,2910
21,2921
22,2944
23,2962
24,2985
25,3005
26,3024
27,3035
28,3046
29,3048
30,3046
31,3040
32,3030
33,3016
34,2996
35,2976
36,2953
37,2928
38,2905
39,2881
40,2858
41,2834
42,2812
43,2789
44,2767
45,2745
46,2723
47,2702
48,2683
49,2662
50,2644
51,2626
52,2610
53,2594
54,2581
55,2568
56,2557
57,2544
58,2531
59,2517
60,2505
61,2489
62,2475
63,2463
64,2453
65,2444
66,2437
67,2431
68,2426
69,2422
70,2417
71,2414
72,2412
73,2408
74,2405
75,2404
76,2404
77,2405
78,2408
79,2413
80,2420
81,2430
82,2443
83,2458
84,2476
85,2497
86,2520
87,2546
88,2575
89,2606
90,2640
91,2675
92,2711
93,2747
94,2784
95,2821
96,2859
97,2897
98,2934
99,2970
100,3005
101,3039
102,3072
103,3104
104,3135
105,3165
106,3194
107,3178
108,3151
109,3125
110,3100
111,3076
112,3053
113,3031
114,3010
115,2990
116,2971
117,2953
118,2936
119,2920
120,2905
121,2891
122,2878
123,2866
124,2855
125,2845
126,2836
127,2828
128,2821
129,2815
130,2810
131,2806
132,2803
133,2801
134,2800
135,2800
