Simulation Step,Minimal Target Distance
0,3186
1,3189
2,3164
3,3175
4,3174
5,3188
6,3197
7,3181
8,3154
9,3124
10,3094
11,3058
12,3017
13,2986
14,2950
15,2923
16,2902
17,2883
18,2866
19,2836
20,2814
21,2785
22,2762
23,2737
24,2720
25,2701
26,2689
27,2681
28,2676
29,2670
30,2667
31,2663
32,2661
33,2663
34,2667
35,2671
36,2680
37,2687
38,2695
39,2701
40,2710
41,2714
42,2721
43,2724
44,2730
45,2735
46,2743
47,2748
48,2756
49,2762
50,2766
51,2766
52,2767
53,2766
54,2766
55,2764
56,2761
57,2756
58,2751
59,2743
60,2734
61,2723
62,2710
63,2695
64,2680
65,2660
66,2641
67,2620
68,2604
69,2589
70,2579
71,2570
72,2566
73,2563
74,2565
75,2568
76,2576
77,2584
78,2596
79,2608
80,2624
81,2640
82,2660
83,2680
84,874
85,880
86,891
87,903
88,919
89,939
90,961
91,986
92,1016
93,1047
94,1082
95,1119
96,1156
97,1193
98,1230
99,1267
100,1303
101,1338
102,1372
103,1405
104,1437
105,1468
106,1498
107,1527
108,1555
109,1582
110,1608
111,1633
112,1658
113,1684
114,1710
115,1737
116,1764
117,1792
118,1820
119,1849
120,1878
121,1908
122,1938
123,1969
124,2000
125,2032
126,2064
127,2095
128,2125
129,2154
130,2182
131,2209
132,2235
133,2260
134,2284
135,2307
136,2329
137,2350
138,2370
139,2389
140,2407
141,2424
142,2440
143,2455
144,2469
145,2482
146,2494
147,2505
148,2515
149,2524
150,2532
151,2539
152,2545
153,2550
154,2554
155,2557
156,2559
157,0
158,0
