Simulation Step,Minimal Target Distance
0,3015
1,2938
2,2881
3,2809
4,2771
5,2757
6,2743
7,2724
8,2695
9,2664
10,2625
11,2589
12,2556
13,2535
14,2529
15,2519
16,2518
17,2510
18,2509
19,2497
20,2483
21,2457
22,2428
23,2391
24,2358
25,2322
26,2291
27,2254
28,2223
29,2191
30,2164
31,2136
32,2111
33,2084
34,2065
35,2043
36,2023
37,2001
38,1981
39,1959
40,1943
41,1920
42,1901
43,1880
44,1864
45,1846
46,1832
47,1814
48,1799
49,1780
50,1763
51,1747
52,1735
53,1723
54,1714
55,1706
56,1701
57,1695
58,1692
59,1690
60,1692
61,1695
62,1701
63,1708
64,1718
65,1728
66,1740
67,1752
68,1764
69,1776
70,1790
71,1804
72,1818
73,1832
74,1846
75,1860
76,1874
77,1728
78,1742
79,1756
80,1768
81,1780
82,1790
83,1800
84,1808
85,1816
86,1822
87,1828
88,1832
89,1836
90,1838
91,0
92,0
