Simulation Step,Minimal Target Distance
0,3199
1,3166
2,3169
3,3169
4,3163
5,3165
6,3165
7,3170
8,3156
9,3131
10,3104
11,3077
12,3033
13,2990
14,2934
15,2897
16,2863
17,2838
18,2813
19,2792
20,2770
21,2750
22,2722
23,2689
24,2648
25,2607
26,2560
27,2518
28,2478
29,2434
30,2393
31,2356
32,2321
33,2287
34,2257
35,2227
36,2203
37,2177
38,2158
39,2139
40,2126
41,2110
42,2095
43,2077
44,2059
45,2039
46,2016
47,1992
48,1968
49,1943
50,1914
51,1882
52,1849
53,1814
54,1780
55,1741
56,1703
57,1663
58,1628
59,1594
60,1557
61,1519
62,1478
63,1438
64,1394
65,1352
66,1308
67,1265
68,1219
69,1175
70,1130
71,1087
72,1043
73,1002
74,961
75,922
76,882
77,845
78,808
79,773
80,737
81,704
82,671
83,640
84,608
85,577
86,544
87,513
88,480
89,450
90,419
91,390
92,360
93,333
94,306
95,281
96,255
97,232
98,209
99,188
100,166
101,147
102,128
103,111
104,94
105,80
106,65
107,52
108,42
109,31
110,22
111,16
112,9
113,4
114,1
115,0
116,0
